country,Crop Type,Season,Yield Percentage,Year,Water Levels,Temperature
Kazakhstan,Wheat,Fall,48.75,2020,28.43,82.14
United Arab Emirates,Plam Oil,Spring,49.61,2020,48.22,62.06
Tanzania,Cotton,Spring,89.21,2022,88.88,84.89
Liechtenstein,Maze,Winter,26.58,2021,19.76,76.22
Tajikistan,Cotton,Fall,44.93,2020,72.33,87.14
Czech Republic,Apples,Rainy Season,49.55,2021,40.25,15.78
Serbia,Cotton,Fall,22.08,2020,67.97,28.68
Laos,Maze,Winter,63.87,2020,83.81,77.14
Madagascar,Cotton,Spring,49.88,2022,24.04,51.5
Madagascar,Cotton,Spring,65.68,2020,29.42,69.87
Vietnam,Cotton,Rainy Season,93.09,2020,17.9,31.59
Andorra,Cotton,Rainy Season,72.36,2020,56.99,82.51
Haiti,Sugar Cane,Winter,58.97,2021,64.12,51.63
Dominican Republic,Apples,Winter,82.79,2022,54.85,18.97
Netherlands,Cotton,Winter,62.81,2022,87.28,29.65
Saint Lucia,Paddy,Summer,64.55,2020,22.55,84.23
Trinidad and Tobago,Plam Oil,Winter,41.28,2022,37.22,15.81
Palau,Maze,Summer,33.13,2020,92.72,67.13
Iraq,Paddy,Spring,31.4,2021,33.82,70.37
Indonesia,Cotton,Spring,54.17,2022,72.32,81.1
Vanuatu,Plam Oil,Spring,77.0,2021,33.2,20.32
Bosnia and Herzegovina,Maze,Spring,30.7,2022,38.25,89.53
United Kingdom,Wheat,Fall,40.36,2022,50.89,12.79
Sao Tome and Principe,Apples,Summer,86.39,2021,64.17,56.51
"Korea, North",Apples,Rainy Season,18.11,2022,33.22,34.11
Slovakia,Paddy,Rainy Season,71.49,2021,31.79,75.85
Brunei,Plam Oil,Rainy Season,84.35,2022,23.84,54.81
Senegal,Wheat,Spring,14.09,2021,70.54,66.38
Germany,Cotton,Fall,29.33,2022,54.51,79.92
Dominican Republic,Wheat,Fall,86.18,2020,72.75,59.92
Latvia,Cotton,Spring,87.23,2022,81.89,83.8
Laos,Wheat,Rainy Season,51.27,2020,54.63,24.7
Bulgaria,Wheat,Summer,32.49,2022,66.86,23.21
Kuwait,Wheat,Rainy Season,14.91,2020,83.81,71.17
Comoros,Wheat,Rainy Season,78.63,2020,73.09,44.55
Afghanistan,Sugar Cane,Rainy Season,40.96,2020,93.1,15.6
Ghana,Paddy,Summer,77.12,2020,53.6,72.47
United Arab Emirates,Sugar Cane,Summer,25.86,2022,62.26,87.29
Burundi,Sugar Cane,Winter,32.55,2020,64.23,83.28
Equatorial Guinea,Maze,Winter,25.52,2020,66.79,58.65
Montenegro,Wheat,Spring,37.05,2021,58.69,82.62
Finland,Cotton,Winter,81.31,2021,81.32,91.89
Ecuador,Paddy,Rainy Season,76.55,2021,31.09,33.68
Gabon,Apples,Winter,39.01,2020,36.58,26.94
Montenegro,Plam Oil,Spring,56.82,2022,67.37,23.97
Palau,Maze,Spring,11.97,2022,38.38,55.4
Armenia,Paddy,Spring,63.91,2020,52.31,92.78
"Congo, Democratic Republic of the",Paddy,Summer,22.95,2022,30.02,16.41
Malaysia,Apples,Summer,58.75,2022,52.38,24.71
Mauritius,Plam Oil,Spring,20.47,2021,31.25,71.8
Saint Lucia,Sugar Cane,Summer,80.97,2020,35.2,83.11
Mauritius,Sugar Cane,Summer,41.3,2021,67.03,19.92
Cambodia,Sugar Cane,Fall,51.02,2022,31.28,43.37
Kazakhstan,Plam Oil,Fall,74.21,2022,77.71,60.24
Costa Rica,Wheat,Spring,38.77,2020,28.97,25.96
Venezuela,Paddy,Fall,82.82,2020,45.45,80.52
Turkey,Plam Oil,Fall,46.76,2021,62.92,62.56
Turkmenistan,Sugar Cane,Rainy Season,57.02,2022,26.91,34.29
Togo,Maze,Fall,80.21,2022,84.14,28.27
Vietnam,Paddy,Summer,87.9,2022,61.51,86.61
Bhutan,Plam Oil,Fall,21.63,2021,10.38,14.6
Dominica,Sugar Cane,Rainy Season,19.3,2022,22.26,31.57
Sierra Leone,Plam Oil,Rainy Season,50.3,2022,70.34,84.99
Vatican City,Sugar Cane,Spring,51.67,2022,72.44,57.44
"Sudan, South",Cotton,Spring,30.39,2021,60.4,27.49
Vietnam,Apples,Summer,12.95,2020,66.82,73.83
Poland,Wheat,Spring,22.5,2020,51.56,19.44
Jordan,Wheat,Rainy Season,27.41,2020,90.8,86.11
Albania,Plam Oil,Fall,81.87,2021,19.01,75.42
Nigeria,Maze,Fall,85.86,2021,14.03,28.2
Togo,Cotton,Fall,54.27,2020,38.29,63.25
Taiwan,Plam Oil,Summer,68.49,2022,91.26,24.8
Finland,Paddy,Winter,70.58,2022,30.15,25.62
Chile,Wheat,Fall,30.13,2021,35.96,75.89
Myanmar (Burma),Wheat,Summer,46.2,2021,68.54,27.89
Argentina,Sugar Cane,Winter,73.74,2020,67.37,77.48
Pakistan,Sugar Cane,Rainy Season,60.66,2022,27.34,29.04
Slovakia,Maze,Fall,32.24,2021,71.21,13.31
United Arab Emirates,Apples,Winter,65.69,2021,23.5,66.66
Bulgaria,Apples,Spring,86.06,2022,73.43,60.3
Malaysia,Paddy,Rainy Season,61.4,2021,52.65,80.32
Guyana,Wheat,Summer,52.97,2021,67.64,55.98
Greece,Cotton,Spring,73.68,2022,45.37,62.25
Greece,Apples,Summer,86.41,2022,78.08,14.41
South Africa,Cotton,Fall,73.66,2022,14.9,47.75
Philippines,Sugar Cane,Rainy Season,91.77,2021,26.22,87.07
Uganda,Wheat,Winter,33.32,2021,20.3,31.39
Papua New Guinea,Apples,Summer,54.87,2020,82.93,20.15
Honduras,Wheat,Summer,52.96,2022,69.61,28.94
Guyana,Sugar Cane,Winter,50.98,2020,75.55,72.93
Jordan,Cotton,Winter,66.46,2021,76.66,21.35
Brazil,Maze,Summer,53.02,2021,30.75,47.11
Norway,Paddy,Winter,21.69,2021,10.91,36.7
Sao Tome and Principe,Sugar Cane,Fall,23.35,2022,61.15,43.8
Austria,Sugar Cane,Spring,41.57,2021,69.57,49.89
Yemen,Paddy,Spring,73.84,2020,84.37,43.83
Cuba,Sugar Cane,Winter,39.63,2020,84.32,42.92
Australia,Sugar Cane,Rainy Season,60.48,2022,61.84,12.3
Côte d’Ivoire,Paddy,Spring,74.71,2020,58.78,18.36
Honduras,Plam Oil,Rainy Season,15.46,2020,37.49,70.44
Botswana,Apples,Rainy Season,61.96,2021,25.55,92.83
Malaysia,Cotton,Rainy Season,50.93,2020,66.64,92.87
Tonga,Wheat,Rainy Season,82.45,2022,33.14,75.68
Mali,Wheat,Summer,64.98,2021,51.85,14.3
Syria,Sugar Cane,Fall,65.09,2022,85.51,51.27
Monaco,Apples,Fall,18.29,2022,71.42,92.16
China,Apples,Rainy Season,12.41,2022,12.8,56.88
Mozambique,Sugar Cane,Summer,72.81,2020,87.81,36.88
Chile,Maze,Fall,15.34,2020,23.25,84.69
Andorra,Paddy,Spring,81.52,2021,35.04,55.47
Saint Kitts and Nevis,Plam Oil,Rainy Season,58.28,2020,19.35,53.79
Kenya,Paddy,Rainy Season,14.72,2022,49.8,27.42
"Korea, North",Sugar Cane,Summer,69.98,2022,27.91,70.08
Guatemala,Cotton,Winter,39.34,2020,74.04,19.91
Tuvalu,Paddy,Summer,80.09,2022,29.16,44.51
Rwanda,Plam Oil,Summer,14.64,2021,21.05,40.07
Kosovo,Wheat,Winter,30.33,2021,52.61,22.77
Seychelles,Sugar Cane,Spring,38.55,2021,33.73,23.22
Tunisia,Wheat,Spring,43.73,2020,28.78,37.28
Yemen,Apples,Summer,75.25,2021,27.41,47.01
Dominican Republic,Cotton,Rainy Season,76.3,2020,63.09,87.68
Yemen,Wheat,Spring,80.13,2021,25.04,89.87
Andorra,Cotton,Fall,68.85,2021,57.3,61.55
Barbados,Wheat,Fall,60.87,2020,33.67,93.14
Tanzania,Paddy,Rainy Season,13.58,2020,72.31,72.65
Uzbekistan,Apples,Winter,78.98,2021,35.83,38.35
Uzbekistan,Sugar Cane,Spring,69.97,2021,92.01,77.28
Angola,Wheat,Rainy Season,43.49,2021,62.75,71.73
Mexico,Cotton,Winter,38.7,2022,75.15,56.84
Belgium,Cotton,Rainy Season,12.68,2020,49.86,10.27
United States,Maze,Summer,16.7,2020,41.28,59.33
Kenya,Sugar Cane,Spring,41.62,2022,39.04,53.8
Hungary,Maze,Summer,12.7,2022,41.04,26.87
Tonga,Sugar Cane,Fall,32.65,2022,73.19,68.79
Georgia,Paddy,Fall,73.2,2022,81.49,49.96
Tajikistan,Paddy,Summer,62.91,2022,61.91,51.93
Guinea,Sugar Cane,Spring,33.04,2020,55.8,21.28
Belgium,Cotton,Spring,41.9,2021,68.66,53.2
Nigeria,Wheat,Winter,13.85,2020,80.74,82.02
Ecuador,Wheat,Fall,74.06,2020,13.23,23.05
Jamaica,Plam Oil,Winter,50.27,2022,70.76,65.59
France,Sugar Cane,Spring,75.59,2022,40.53,36.23
Malawi,Wheat,Summer,12.43,2020,26.86,46.37
Burkina Faso,Sugar Cane,Winter,87.52,2020,90.65,43.82
India,Sugar Cane,Spring,34.28,2020,18.59,59.0
Liechtenstein,Paddy,Spring,62.57,2021,31.61,36.39
Venezuela,Maze,Spring,23.76,2020,12.06,86.83
Barbados,Sugar Cane,Winter,75.7,2021,90.37,58.24
Azerbaijan,Paddy,Rainy Season,80.82,2021,75.82,54.57
Kuwait,Sugar Cane,Rainy Season,29.39,2021,50.17,61.34
Philippines,Sugar Cane,Winter,72.25,2020,49.06,14.05
Honduras,Apples,Winter,58.71,2021,78.59,37.23
Mongolia,Plam Oil,Summer,81.7,2022,71.72,41.28
"Micronesia, Federated States of",Sugar Cane,Winter,48.73,2022,30.91,56.71
Benin,Cotton,Rainy Season,47.39,2021,23.34,91.42
New Zealand,Paddy,Summer,15.19,2020,15.51,69.08
